cPcbbbiht,dLQbcccdegj,Face: 0
dLQbcccdegj,eLPkbcdddmbkgw,Face: 2
dLQbcccdegj,eLAkbccddhhnqw,Face: 5
eLPkbcdddmbkgw,fLLQcbeddeehhjved,Face: 6
fLLQcbeddeehhjved,gLLAQbeddfffhhjvenc,Face: 8
gLLAQbeddfffhhjvenc,hLLAMkbeddfggghhjvehie,Face: 10
hLLAMkbeddfggghhjvehie,iLLAMPcbeddfghhhhhjvehqcn,Face: 12
iLLAMPcbeddfghhhhhjvehqcn,jLLAMzQbeddfghiiihhjvehqhie,Face: 14
jLLAMzQbeddfghiiihhjvehqhie,kLLAMzMkbeddfghijjjhhjvehqhqcn,Face: 16
kLLAMzMkbeddfghijjjhhjvehqhqcn,lLLAMzMPcbeddfghijkkkhhjvehqhqhie,Face: 18
lLLAMzMPcbeddfghijkkkhhjvehqhqhie,mLLAMzMzQbeddfghijklllhhjvehqhqhqcn,Face: 20
