id,sig,depth
1,cPcbbbiht,0
2,fLAMcbccdeemejmqj,2
4,eLAkbccddmejdw,1
7,dLQbcccdero,0
8,fLLQcbcdeeepfrede,2
11,iLvAMQccdefgfghhivpuongsj,4
12,hLLAMkbdedfggglfavpiim,3
13,hLLAAkcdceffggiokmlwiw,3
17,eLPkbcddddcwjb,0
21,iLLAAMcbcdeffghhmjvmqgahr,4
23,gLLPQcdeffefdvalaer,2
24,iLLLQMcbedefgghhmifilbohj,3
26,hLLLQkbdggeffgdwttdjvg,3
28,eLAkbccddmejlr,0
30,iLLALQcccdeggfhhivvxokjdr,3
32,hLLAAkcdceffggiokmtwiw,3
33,eLAkbccddmejln,0
37,fLLQcacdeeejkamkf,0
38,hLLLQkbdggeffgdwlldjvf,3
45,hLLAPkceddgfggtivngscf,3
46,iLLLAQccdeffgghhdstatkkan,3
49,fLAMcbccdeemejdhn,0
51,fLAMcbccdeemejlxj,0
54,fLLQcacdeeejkmxsn,0
56,gLLAQbcdeeffmbraaww,2
57,iLLALQcccdeggfhhivvxokjdk,3
64,fLAMcbccdeemejlhj,0
67,iLLLAQccdeffgghhdstatkkxk,3
69,gLLAQbcdeeffpfreesj,2
70,iLLALQcccdeggfhhivvxokjls,3
71,iLLLAQccdeffgghhdstatkkaj,3
73,fLAMcbccdeemejlxn,0
77,fLAMcbccdeemejlhw,0
78,iLLLAQccdeffgghhdstatkkxr,3
80,gLLAQbedeffftugihus,1
83,hLLAPkceddgfggtivngsbf,3
85,hLvMQkbefefgfgpamtmpcj,2
86,hLLAAkbcdeefggpfreeohs,2
87,iLLAPPcceddgfghhtivngsfmr,3
89,eLMkbbddddhapu,0
90,eLPkbdcddmgogo,0
94,fLLQcbeddeemdcgll,1
96,iLvLQQcbdefghghhmfimrrkrc,3
99,iLLAPPcbcdefghhhmbrarfmat,3
100,hLLAAkbcdeefggmbraawqn,2
102,gLLMQbcdfefftsrdeoc,2
103,hLLAPkbddefgggdwguvnvg,3
104,gLLPQceeffefdlataqm,2
106,hLLAAkbcdeefggpfreeshn,2
112,hLLAAkacdeffggnkampunn,3
115,iLLAPPcceddgfghhtivngsfuw,3
117,iLLAPPcceddgfghhtivngsfmk,3
119,hLLAAkbcdeefggpfreesqj,2
121,hLLAAkbcdeefggpfreeshr,2
124,iLLAPPcceddgfghhtivngsfuj,3
134,iLLALQcceddfghhhhivkjvmad,4
140,hLvMQkbefefgfgpamtmpck,2
142,iLLLMQccdefggghhdstagkkjj,3
146,iLLLMQccdefggghhdstagkkjk,3
147,hLLLQkcdfefggghslpurff,2
149,hLLPMkcdefffggdvalargr,2
150,eLMkbbdddemdxi,0
151,eLMkbcddddedde,0
153,iLLAwQcbdedfgghhlfavpimbk,4
161,iLLLPQccdefghhhghsdlgsvjn,3
162,iLLLQPcbdeggfghhlvuqmgodn,3
166,gLLPQcdeffefdvulaik,1
168,gLLAQbddefffevnmhgs,1
169,hLLMPkbddefgggevkxrnbk,2
170,hLvMQkbefefgfgpamtmecw,2
176,iLLPLQcaddeghhghjptxpxuek,3
177,hLLAMkbedefgggxtrddnfw,2
180,iLLAwQcbdedfgghhlfavpimrw,3
181,iLLMLQcbddehghghdwrhtrqvh,3
183,iLLAzQcceddghghhqivvoqfix,3
190,hLLAAkacdeffggjkampunn,2
192,gLLAQccedefflnegdrr,1
202,iLLLPQcbcfehfghhecxeofokj,3
203,hLLzQkcdegfgfgirpaiocr,2
213,iLLALQcbcdehhhggpjgthahfw,3
222,iLvAMQccdefgfghhivpuongsk,3
223,hLLAMkbdedfggglfavpmim,2
225,hLLAAkacdeffggnkampunj,2
226,fLLQcbcdeeemgopdp,0
227,iLLLMQcccfdhghghlnpwpwpwt,3
229,fLAPcbcceeehhsjnb,0
231,iLLLQPccdefeghghdrdatrqrn,3
232,gLLAQbddefffxfrxdjb,1
238,hLLMPkbddegfggdwkprobk,2
239,gLLAQbddefffdwnhhjv,1
240,iLLAwQcbddefhhghxfrxdplwv,3
241,iLLAwQcbddefhhhgxfrxdplnn,3
243,gLLAQbdedffftfavpkf,1
251,gLLAQcededffiikakbj,1
252,fLAPcacceeejsjksb,0
255,hLLMAkccdeffggibvdpfpr,2
256,iLLPLQcacefhfghhjkxnmwlok,3
258,fLLQcbeddeeddgfua,0
260,iLLLMQcccfdhghghlnpjpwpwt,3
